City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,Pangkalanbuun,-2.6833,111.6167,83.52,82,100,3.22,ID,2021-03-04 06:40:33
461,Hargeysa,9.56,44.065,75.06,40,0,11.79,SO,2021-03-04 06:40:33
462,Amalapuram,16.5833,82.0167,87.8,42,0,6.91,IN,2021-03-04 06:40:33
463,Elizabeth City,36.2946,-76.2511,39.2,87,1,6.8,US,2021-03-04 06:36:31
464,Ostrovnoy,68.0531,39.5131,15.67,94,100,15.84,RU,2021-03-04 06:40:34
465,Vila Velha,-20.3297,-40.2925,73.4,88,0,4.61,BR,2021-03-04 06:40:34
466,Sirari,-1.2333,34.4333,76.19,50,64,5.23,TZ,2021-03-04 06:40:34
467,Thunder Bay,48.4001,-89.3168,10.99,79,1,2.3,CA,2021-03-04 06:40:14
468,Neiafu,-18.65,-173.9833,80.6,83,75,2.3,TO,2021-03-04 06:40:35
469,Polson,47.6936,-114.1632,32.0,78,0,4.0,US,2021-03-04 06:40:35
470,Caceres,39.522,-6.3748,46.99,88,100,5.46,ES,2021-03-04 06:40:35
471,Vardo,70.3705,31.1107,21.2,73,75,11.5,NO,2021-03-04 06:40:36
472,Shimoda,34.6667,138.95,53.6,66,75,10.36,JP,2021-03-04 06:40:36
473,Zhongshu,24.5167,103.7667,71.22,29,2,22.53,CN,2021-03-04 06:40:36
474,Along,28.1667,94.7667,80.33,31,36,2.21,IN,2021-03-04 06:40:36
475,Harper,4.375,-7.7169,78.94,89,92,8.66,LR,2021-03-04 06:40:37
476,Faya,18.3851,42.4509,64.4,36,0,14.97,SA,2021-03-04 06:40:37
477,Madisonville,37.3281,-87.4989,39.99,75,1,5.57,US,2021-03-04 06:40:37
478,North Bend,43.4065,-124.2243,46.4,76,90,9.22,US,2021-03-04 06:40:37
479,Miramar,25.9873,-80.2323,66.99,77,75,14.97,US,2021-03-04 06:39:53
480,Laguna De Perlas,12.3429,-83.6712,74.7,86,100,8.43,NI,2021-03-04 06:40:37
481,Mayumba,-3.432,10.6554,81.41,86,63,4.47,GA,2021-03-04 06:40:38
482,Atar,20.5169,-13.0499,66.34,23,100,9.73,MR,2021-03-04 06:40:38
483,Salinas,36.6777,-121.6555,51.8,76,90,4.09,US,2021-03-04 06:39:57
484,Villa Rica,33.7321,-84.9191,46.0,78,0,6.15,US,2021-03-04 06:40:38
485,Longyearbyen,78.2186,15.6401,3.2,78,20,12.66,SJ,2021-03-04 06:38:59
486,Shahrud,36.4182,54.9763,47.88,52,0,9.51,IR,2021-03-04 06:40:39
487,Beya,53.0533,90.9139,26.8,91,0,1.81,RU,2021-03-04 06:40:39
488,Champerico,14.3,-91.9167,63.0,97,0,1.99,GT,2021-03-04 06:40:40
489,Shestakovo,56.4915,103.96,-1.25,82,4,3.98,RU,2021-03-04 06:40:40
490,Tiarei,-17.5333,-149.3333,80.6,78,75,4.61,PF,2021-03-04 06:40:40
491,Simojovel,17.1391,-92.7103,67.05,86,100,0.54,MX,2021-03-04 06:40:41
492,Marsaxlokk,35.8419,14.5431,54.0,87,0,4.61,MT,2021-03-04 06:40:41
493,Mariel,22.9875,-82.7536,71.6,100,40,6.82,CU,2021-03-04 06:40:41
494,Hohhot,40.8106,111.6522,51.8,22,0,8.95,CN,2021-03-04 06:40:42
495,Carahue,-38.7,-73.1667,55.4,100,90,3.44,CL,2021-03-04 06:40:42
496,Labuhan,-6.8844,112.2051,84.0,76,98,8.5,ID,2021-03-04 06:40:42
497,Chapeco,-27.0964,-52.6183,62.87,100,100,1.43,BR,2021-03-04 06:40:43
498,Ust-Tsilma,65.441,52.1498,4.68,93,94,3.96,RU,2021-03-04 06:40:43
